rank|name|revenue|industry|employees|founded|growth|city|state
3883|STONE Resource Group|15.7|IT Services|150.0|2010.0|75|Roswell|GA
3884|SmarterChaos.com|3.1|Advertising & Marketing|7.0|2010.0|75|Castle Rock|CO
3885|Resources Real Estate|3.0|Real Estate|89.0|2000.0|75|Rumson|NJ
3886|TempWorks|21.6|Human Resources|135.0|1997.0|75|Eagan|MN
3887|Bell & Barksdale Holdings|2.0|Retail|1.0|2011.0|75|Mount Pleasant|SC
3888|Blue Corona|6.7|Advertising & Marketing|40.0|2008.0|75|Gaithersburg|MD
3889|Yorktown Systems Group|21.2|Government Services|351.0|2008.0|75|Huntsville|AL
3890|Star2Star Communications|57.9|Telecommunications|294.0|2006.0|75|Sarasota|FL
3891|Alight Analytics|3.2|Software||2007.0|75|Kansas City|MO
3892|LSS Life Safety Services|9.5|Business Products & Services|125.0|2004.0|74|Louisville|KY
3893|Duet Design Group|3.2|Construction|12.0|2011.0|74|Denver|CO
3894|Priority Title & Escrow|2.9|Real Estate|32.0|2005.0|74|Virginia Beach|VA
3895|TechCXO|15.9|Business Products & Services|82.0|2003.0|74|Atlanta|GA
3896|4C2 Electrical Associates|10.9|Energy|65.0|2011.0|74|Dallas|TX
3897|Optiv Security|2045.9|Security|1710.0|1996.0|74|Denver|CO
3898|Exterior Medics|10.6|Construction|29.0|2008.0|74|Springfield|VA
3899|ASP Global|37.4|Software|39.0|2003.0|74|Atlanta|GA
3900|Karins and Associates|5.7|Engineering|52.0|1973.0|74|Newark|DE
3901|NewDay USA|183.7|Financial Services|548.0|1999.0|74|Fulton|MD
3902|Nexus Systems|10.0|Software|89.0|1999.0|74|Falls Church|VA
3903|Cargas Systems|15.0|Software|90.0|1988.0|74|Lancaster|PA
3904|Karpel Solutions|11.1|IT Services|53.0|1985.0|74|St. Louis|MO
3905|Logistic Dynamics|82.6|Logistics & Transportation|22.0|2003.0|74|Buffalo|NY
3906|Kidder Mathews|144.2|Real Estate|600.0|1969.0|74|Seattle|WA
3907|Dining Alliance|34.3|Food & Beverage|175.0|1998.0|74|Waltham|MA
3908|Rich Duncan Construction|20.8|Construction|27.0|2004.0|74|Salem|OR
3909|IMAGE Skincare International|52.6|Consumer Products & Services|147.0|2003.0|74|Palm Beach|FL
3910|New Horizons Learning Group|22.8|IT Services|153.0|1982.0|74|Anaheim|CA
3911|Homecare Homebase|125.0|Health|380.0|2001.0|74|Dallas|TX
